"","SrcID_Feat","unit","mean_dist"
"1",84,0,757.816912841714
"2",311,0,636.265055534154
"3",312,0,897.134646767053
"4",1978,0,793.587550113053
"5",2379,0,872.043597053
"6",2380,0,707.223145802792
"7",2400,0,553.794112637496
"8",2503,0,936.069381713875
"9",84,1,690.820448277305
"10",311,1,697.747935193617
"11",312,1,940.2655181885
"12",1978,1,685.301053534578
"13",2379,1,813.679164341476
"14",2380,1,456.495551215278
"15",2400,1,607.500125791951
"16",2503,1,907.316061268696
"17",1597,2,660.818197938793
"18",3919,2,792.584558731436
"19",3920,2,640.068602395688
"20",1534,3,942.2124145508
"21",3919,3,955.6777801515
"22",3920,3,657.134375040257
"23",1601,4,636.335084621702
"24",3854,4,716.359083663558
"25",4863,4,947.064432779833
"26",4864,4,624.404147636585
"27",4865,4,582.840909278966
"28",4876,4,898.49256896975
"29",4877,4,900.946927584077
"30",637,5,522.541673165796
"31",3669,5,768.273600260333
"32",3816,5,919.975898742625
"33",3827,5,551.815645330118
"34",4876,5,667.0161445617
"35",4877,5,866.602718955526
"36",4878,5,754.398282877578
"37",4880,5,732.346767993617
"38",4901,5,770.814860950758
"39",312,6,915.344558715833
"40",1599,6,602.600913634241
"41",2379,6,937.632466634167
"42",3554,6,726.650918226952
"43",3579,6,936.069381713875
"44",310,7,819.357926141571
"45",1646,7,844.536639669609
"46",2121,7,734.218340873656
"47",2131,7,529.367440032962
"48",3774,7,883.24979248045
"49",3882,7,569.278232904123
"50",4873,7,740.981037628923
"51",310,8,869.485339936714
"52",1646,8,921.546302795375
"53",2121,8,628.487451889922
"54",2131,8,542.062133053699
"55",2500,8,942.2124145508
"56",3774,8,838.544841897828
"57",3882,8,715.277782985089
"58",4114,8,1000
"59",4873,8,601.473980081465
"60",84,9,602.813344464971
"61",311,9,617.408213548225
"62",2380,9,889.474268595333
"63",2400,9,889.533899377889
"64",2503,9,682.128821948941
"65",312,10,629.56458349608
"66",1599,10,749.606875332864
"67",2379,10,644.098477040157
"68",3554,10,806.271230061758
"69",312,11,733.104490756937
"70",1599,11,683.051638559169
"71",2379,11,633.19753494261
"72",3554,11,655.906289707511
"73",312,12,623.414654751455
"74",1599,12,863.546891645909
"75",2379,12,673.036204020153
"76",2400,12,906.471900353077
"77",3554,12,940.2655181885
"78",311,13,977.856363932333
"79",312,13,650.990419175867
"80",1978,13,834.955918084952
"81",2379,13,611.078676373753
"82",2380,13,940.2655181885
"83",2400,13,647.400351192146
